Wall time,Step,Value
1543674853.6906228,176,2507.964599609375
1543674854.1603098,177,2541.354736328125
1543674854.6276507,178,2223.417236328125
1543674855.0954323,179,1253.3182373046875
1543674855.558917,180,1956.298095703125
1543674856.0275362,181,2996.960693359375
1543674856.5541995,182,2519.905029296875
1543674857.1235037,183,2549.8662109375
1543674857.7539413,184,2516.0126953125
1543674858.4405606,185,3390.97607421875
1543674859.0522134,186,1312.7120361328125
1543674859.7596478,187,998.2465209960938
1543674860.436805,188,874.4522705078125
1543674861.0691047,189,709.7745361328125
1543674861.6469412,190,630.0225219726562
1543674862.2168393,191,594.8397216796875
1543674862.9023058,192,576.0728149414062
1543674863.547209,193,563.4700927734375
1543674864.2998219,194,552.26318359375
1543674864.7778735,195,542.7955932617188
1543674865.2535465,196,533.9205932617188
1543674865.7113476,197,525.78173828125
1543674866.1639612,198,518.04248046875
1543674866.6174476,199,510.7107849121094
1543674867.1184552,200,503.70166015625
1543674867.759824,201,497.0704040527344
1543674868.382816,202,490.6937561035156
1543674868.981672,203,484.5749816894531
1543674869.5555117,204,478.63690185546875
1543674870.0896752,205,473.0068664550781
1543674870.6141481,206,467.5219421386719
1543674871.1895068,207,462.2901306152344
1543674871.781806,208,457.2062683105469
1543674872.351281,209,452.280029296875
1543674872.9045186,210,447.6288146972656
1543674873.4925113,211,443.0574035644531
1543674874.069618,212,438.78326416015625
1543674874.5637004,213,434.99755859375
1543674875.109862,214,431.999755859375
1543674875.620783,215,429.11627197265625
1543674876.1100235,216,427.5525817871094
1543674876.5655365,217,427.9649353027344
1543674877.03758,218,434.74920654296875
1543674877.498694,219,448.7652893066406
1543674877.9685082,220,502.446533203125
1543674878.4525313,221,682.0360107421875
1543674878.9205132,222,1700.7698974609375
1543674879.3857498,223,3376.256591796875
1543674879.8511426,224,7730.27294921875
1543674880.319176,225,5873.107421875
1543674880.7973607,226,2582.384521484375
1543674881.2624788,227,3762.072509765625
1543674881.7274208,228,2324.077880859375
1543674882.1918974,229,4244.001953125
1543674882.6443226,230,1477.219970703125
1543674883.1068447,231,1256.6663818359375
1543674883.5582635,232,1617.8048095703125
1543674884.0161512,233,2616.7822265625
1543674884.468895,234,1144.8536376953125
1543674884.929429,235,963.9762573242188
1543674885.387655,236,937.6611328125
1543674885.8403983,237,912.923095703125
1543674886.2968037,238,1105.89697265625
1543674886.7633739,239,1435.7431640625
1543674887.2188923,240,2556.214599609375
1543674887.670479,241,1640.1239013671875
1543674888.1257987,242,1166.1978759765625
1543674888.5842752,243,1167.523193359375
1543674889.0483012,244,1082.40576171875
1543674889.5174866,245,926.220947265625
1543674889.9927022,246,842.4552612304688
1543674890.4667068,247,684.0453491210938
1543674890.9379041,248,621.4298706054688
1543674891.4167979,249,563.1627807617188
1543674891.8980203,250,541.935546875
1543674892.3795595,251,528.0359497070312
1543674892.854591,252,517.525146484375
1543674893.327026,253,508.8291931152344
1543674893.7835999,254,501.18865966796875
1543674894.2435322,255,493.9220886230469
1543674894.6996856,256,487.28021240234375
1543674895.1616173,257,480.96563720703125
1543674895.6194715,258,474.9727478027344
1543674896.0765107,259,469.1983337402344
1543674896.5348566,260,463.74334716796875
1543674896.9893224,261,458.38446044921875
1543674897.4521964,262,453.2001953125
1543674897.9276614,263,448.1960754394531
1543674898.402245,264,443.3617858886719
1543674898.8816774,265,438.74285888671875
1543674899.3477945,266,434.4368591308594
1543674899.8186827,267,430.1622009277344
